iter	Passed	Remaining
0	1	1625
1	3	1636
2	4	1491
3	5	1418
4	8	1772
5	10	1661
6	11	1597
7	13	1616
8	14	1554
9	15	1532
10	16	1486
11	17	1446
12	18	1402
13	19	1364
14	20	1326
15	21	1326
16	22	1322
17	24	1348
18	25	1324
19	26	1299
20	27	1278
21	28	1260
22	29	1242
23	30	1226
24	31	1212
25	31	1198
26	32	1185
27	33	1174
28	34	1164
29	35	1162
30	37	1180
31	38	1175
32	39	1169
33	40	1159
34	41	1150
35	42	1141
36	43	1134
37	44	1127
38	45	1120
39	46	1113
40	47	1106
41	48	1100
42	49	1094
43	50	1089
44	51	1094
45	53	1111
46	54	1106
47	55	1100
48	56	1095
49	57	1089
50	58	1084
51	59	1079
52	60	1074
53	61	1069
54	61	1064
55	62	1059
56	63	1056
57	64	1052
58	66	1053
59	67	1057
60	68	1055
61	69	1052
62	70	1048
63	71	1044
64	72	1041
65	73	1038
66	74	1034
67	74	1026
68	75	1023
69	76	1021
70	77	1017
71	78	1014
72	79	1010
73	81	1014
74	82	1017
75	83	1015
76	84	1013
77	85	1010
78	86	1008
79	87	1005
80	88	1003
81	89	1000
82	90	998
83	91	995
84	91	988
85	92	986
86	93	980
87	94	977
88	95	979
89	97	984
90	98	982
91	99	979
92	100	977
93	101	975
94	102	972
95	103	969
96	103	967
97	104	964
98	105	962
99	106	960
100	107	958
101	108	952
102	109	951
103	110	952
104	112	955
105	113	953
106	113	951
107	114	948
108	115	946
109	116	945
110	117	942
111	118	940
112	119	937
113	120	935
114	121	933
115	121	929
116	122	928
117	123	926
118	125	925
119	126	928
120	127	927
121	128	925
122	129	920
123	129	918
124	130	916
125	131	914
126	132	912
127	133	907
128	134	906
129	135	904
130	136	902
131	137	901
132	138	900
133	139	898
134	141	904
135	142	903
136	143	902
137	143	899
138	144	897
139	145	895
140	146	893
141	147	891
142	148	889
143	149	887
144	150	886
145	151	886
146	152	884
147	153	883
148	154	883
149	156	887
150	157	885
151	158	884
152	159	882
153	160	880
154	161	878
155	162	877
156	163	875
157	163	873
158	164	872
159	165	870
160	166	868
161	167	867
162	168	865
163	170	867
164	171	867
165	172	866
166	173	864
167	174	862
168	175	861
169	176	859
170	176	857
171	177	856
172	178	855
173	179	853
174	180	852
175	181	850
176	182	849
177	183	847
178	184	848
179	186	848
180	186	845
181	187	843
182	188	842
183	189	840
184	190	839
185	191	837
186	192	835
187	193	834
188	194	832
189	195	831
190	195	830
191	196	828
192	197	827
193	198	825
194	200	826
195	201	825
196	202	823
197	202	822
198	203	820
199	204	818
200	205	817
201	206	815
202	207	814
203	208	813
204	209	811
205	210	810
206	211	808
207	212	807
208	212	805
209	214	806
210	215	806
211	216	805
212	217	804
213	218	802
214	219	801
215	220	799
216	221	798
217	222	797
218	223	795
219	224	794
220	224	792
221	225	791
222	226	789
223	227	788
224	228	786
225	230	788
226	231	787
227	231	785
228	232	783
229	233	782
230	234	780
231	235	779
232	236	778
233	237	776
234	238	775
235	239	774
236	240	772
237	240	771
238	241	769
239	242	768
240	243	768
241	245	768
242	246	767
243	247	766
244	249	767
245	249	766
246	250	764
247	251	763
248	252	761
249	253	760
250	254	758
251	255	757
252	256	756
253	257	754
254	257	753
255	259	754
256	260	754
257	261	753
258	262	752
259	263	750
260	264	749
261	265	748
262	266	746
263	267	745
264	268	744
265	269	743
266	270	741
267	271	740
268	271	739
269	272	737
270	274	738
271	275	737
272	276	736
273	277	735
274	278	734
275	279	732
276	280	731
277	281	730
278	282	729
279	283	727
280	283	726
281	284	725
282	285	723
283	286	722
284	287	721
285	288	721
286	290	721
287	291	721
288	292	719
289	293	718
290	294	717
291	295	716
292	296	716
293	298	715
294	299	715
295	300	714
296	301	714
297	304	718
298	305	717
299	306	716
300	308	715
301	309	714
302	310	714
303	311	713
304	312	712
305	313	711
306	314	710
307	315	709
308	316	708
309	320	713
310	321	712
311	322	711
312	323	710
313	324	709
314	325	708
315	326	707
316	327	706
317	328	705
318	330	704
319	331	703
320	332	702
321	335	705
322	336	704
323	337	703
324	338	702
325	339	701
326	340	700
327	341	700
328	343	700
329	345	700
330	346	699
331	348	700
332	349	700
333	351	700
334	352	699
335	353	698
336	354	697
337	355	696
338	356	695
339	357	694
340	358	693
341	359	692
342	360	690
343	361	690
344	363	689
345	364	689
346	365	688
347	367	687
348	368	686
349	369	685
350	370	684
351	371	683
352	372	682
353	373	681
354	374	680
355	375	678
356	376	677
357	378	678
358	379	677
359	380	676
360	381	675
361	382	674
362	383	673
363	384	672
364	385	671
365	387	670
366	388	669
367	389	668
368	390	667
369	391	666
370	393	666
371	394	666
372	395	665
373	396	663
374	397	662
375	398	661
376	399	660
377	400	659
378	401	657
379	402	656
380	403	655
381	404	654
382	405	653
383	406	652
384	408	652
385	409	651
386	410	650
387	411	649
388	412	648
389	413	647
390	414	645
391	415	644
392	416	643
393	417	642
394	418	640
395	419	639
396	420	638
397	421	637
398	423	637
399	424	636
400	425	635
401	426	634
402	427	633
403	428	632
404	429	631
405	431	630
406	432	630
407	433	629
408	434	628
409	435	626
410	439	629
411	440	628
412	441	627
413	442	626
414	443	625
415	444	624
416	446	623
417	448	624
418	450	624
419	452	625
420	455	626
421	463	634
422	465	634
423	467	635
424	470	637
425	472	636
426	473	635
427	475	635
428	476	634
429	478	633
430	479	632
431	481	632
432	484	634
433	485	633
434	487	632
435	488	632
436	490	631
437	491	631
438	493	630
439	494	629
440	496	628
441	498	629
442	500	629
443	502	629
444	503	628
445	505	628
446	507	627
447	508	626
448	510	626
449	511	625
450	514	626
451	516	626
452	518	625
453	519	625
454	521	624
455	522	623
456	523	622
457	524	621
458	525	619
459	527	619
460	529	618
461	530	617
462	531	616
463	532	614
464	533	613
465	534	612
466	535	611
467	537	610
468	539	611
469	542	612
470	544	611
471	546	611
472	548	610
473	549	609
474	551	609
475	552	608
476	554	607
477	555	606
478	557	606
479	558	604
480	559	603
481	560	602
482	561	601
483	562	600
484	563	598
485	565	597
486	566	596
487	567	595
488	568	594
489	569	593
490	572	593
491	573	592
492	574	590
493	576	589
494	577	589
495	578	587
496	579	586
497	581	585
498	582	584
499	583	583
500	584	582
501	587	583
502	589	582
503	590	581
504	591	579
505	592	578
506	593	577
507	594	576
508	595	574
509	596	573
510	599	573
511	600	572
512	602	571
513	603	570
514	604	569
515	606	568
516	607	567
517	608	565
518	609	564
519	610	563
520	611	562
521	612	560
522	613	559
523	614	558
524	616	557
525	617	556
526	618	555
527	620	554
528	621	553
529	622	551
530	623	550
531	624	549
532	625	547
533	626	546
534	627	545
535	628	544
536	630	543
537	632	543
538	633	541
539	634	540
540	635	539
541	636	537
542	637	536
543	638	535
544	639	534
545	640	532
546	641	531
547	642	530
548	643	529
549	645	527
550	646	526
551	647	525
552	648	524
553	649	523
554	651	521
555	652	520
556	653	519
557	654	518
558	655	517
559	657	516
560	658	514
561	658	513
562	660	512
563	661	511
564	662	510
565	664	509
566	664	507
567	665	506
568	666	505
569	667	503
570	668	502
571	669	501
572	670	499
573	671	498
574	673	497
575	674	496
576	676	495
577	677	494
578	678	493
579	679	492
580	680	490
581	681	489
582	682	488
583	683	486
584	684	485
585	685	484
586	686	483
587	687	481
588	688	480
589	689	479
590	691	478
591	692	477
592	693	475
593	694	474
594	695	473
595	696	471
596	696	470
597	697	469
598	698	467
599	699	466
600	700	465
601	701	463
602	702	462
603	703	461
604	704	459
605	706	459
606	707	458
607	708	456
608	709	455
609	710	454
610	711	452
611	712	451
612	713	450
613	714	449
614	715	447
615	716	446
616	717	445
617	718	443
618	719	442
619	720	441
620	721	440
621	722	439
622	723	437
623	724	436
624	725	435
625	726	434
626	727	432
627	728	431
628	729	429
629	730	428
630	730	427
631	731	426
632	732	424
633	733	423
634	735	422
635	736	421
636	737	420
637	738	418
638	739	417
639	739	416
640	740	414
641	742	413
642	743	412
643	744	411
644	745	410
645	746	408
646	747	407
647	748	406
648	749	405
649	751	404
650	752	403
651	753	401
652	753	400
653	754	399
654	756	398
655	757	397
656	758	395
657	759	394
658	760	393
659	761	392
660	762	391
661	764	390
662	765	388
663	766	387
664	767	386
665	768	385
666	769	383
667	770	382
668	771	381
669	772	380
670	773	379
671	773	377
672	774	376
673	775	375
674	776	374
675	777	372
676	778	371
677	779	370
678	780	369
679	781	367
680	782	366
681	783	365
682	784	364
683	785	362
684	786	361
685	787	360
686	788	359
687	789	357
688	790	356
689	791	355
690	792	354
691	792	352
692	793	351
693	794	350
694	795	349
695	796	347
696	798	346
697	799	345
698	800	344
699	800	343
700	801	342
701	802	340
702	803	339
703	804	338
704	805	337
705	806	335
706	807	334
707	808	333
708	809	332
709	810	330
710	811	329
711	812	328
712	813	327
713	814	326
714	815	324
715	816	323
716	816	322
717	817	321
718	818	319
719	819	318
720	820	317
721	821	316
722	822	315
723	823	313
724	824	312
725	825	311
726	826	310
727	827	309
728	828	307
729	829	306
730	830	305
731	830	304
732	832	303
733	832	301
734	833	300
735	834	299
736	835	298
737	836	297
738	837	295
739	838	294
740	839	293
741	840	292
742	841	291
743	842	289
744	843	288
745	844	287
746	845	286
747	846	285
748	847	283
749	848	282
750	849	281
751	849	280
752	850	279
753	851	277
754	852	276
755	853	275
756	854	274
757	855	273
758	856	272
759	857	270
760	858	269
761	859	268
762	860	267
763	861	266
764	862	264
765	863	263
766	864	262
767	865	261
768	865	260
769	867	258
770	868	257
771	869	256
772	869	255
773	870	254
774	871	253
775	872	251
776	873	250
777	874	249
778	875	248
779	876	247
780	877	246
781	878	244
782	879	243
783	880	242
784	881	241
785	882	240
786	883	238
787	883	237
788	884	236
789	885	235
790	886	234
791	887	233
792	888	231
793	889	230
794	890	229
795	891	228
796	892	227
797	893	226
798	894	225
799	895	223
800	896	222
801	897	221
802	898	220
803	899	219
804	900	218
805	901	217
806	902	215
807	903	214
808	904	213
809	906	212
810	907	211
811	908	210
812	909	209
813	910	208
814	911	206
815	912	205
816	913	204
817	914	203
818	915	202
819	916	201
820	917	199
821	917	198
822	918	197
823	919	196
824	920	195
825	921	194
826	922	192
827	923	191
828	924	190
829	925	189
830	926	188
831	927	187
832	928	186
833	930	185
834	931	184
835	932	182
836	933	181
837	934	180
838	935	179
839	936	178
840	937	177
841	939	176
842	940	175
843	941	174
844	942	172
845	943	171
846	944	170
847	945	169
848	946	168
849	947	167
850	948	166
851	949	164
852	950	163
853	951	162
854	952	161
855	953	160
856	954	159
857	955	158
858	956	157
859	957	155
860	958	154
861	959	153
862	960	152
863	961	151
864	962	150
865	963	149
866	964	147
867	965	146
868	966	145
869	967	144
870	968	143
871	969	142
872	971	141
873	972	140
874	973	139
875	974	137
876	975	136
877	976	135
878	977	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
